id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
388,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.","RUSSELL
	That was cool!",Russell dangles from it.,0,Russell,dangles,swing,neutral,short,Yes,No,it,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",Dug dangles from it.,0,Dug,dangles,swing,neutral,short,Yes,No,it,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",The bird holds on to the hose with her beak.,1,bird,holds on,touch,neutral,neutral,No,No,hose,beak,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.","Carl laughs, relieved.",2,Carl,laughs,laugh,neutral,short,Yes,No,,,,,relieved,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,,"Russell and Dug dangle from it, sitting on Kevin. The bird holds on to the hose with her beak. Carl LAUGHS, relieved.",,,,,,,,,,,,,,,
389,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.","DUG
	Oh I am ready to not be up high.",Carl laughs heartily.,0,Carl,laughs,laugh,neutral,short,Yes,No,,,,,heartily,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",Dug jumps up on Carl.,0,Dug,jumps,jump,fast ,short,Yes,Yes,Carl,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",Dug licks Carl's face.,1,Dug,licks,kiss,neutral,short,Yes,No,Carl's face,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",Carl looks into the distance.,2,Carl,looks,look,neutral,neutral,Yes,No,distance,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.","The house, now empty, floats softly down into the clouds.",3,house,floats,fly,neutral,neutral,Yes,Yes,,clouds,,down,softly,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",The house disappears into the clouds.,4,house,disappears,go,neutral,short,Yes,Yes,clouds,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",,,,,,,,,,,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",,,,,,,,,,,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",,,,,,,,,,,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",,,,,,,,,,,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",,,,,,,,,,,,,,,,"Carl LAUGHS heartily as Dug jumps on him and licks his face. Carl looks into the distance. His house, now empty, floats softly down into the clouds, and disappears.",,,,,,,,,,,,,,,
390,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.","CARL
	You know, it's just a house.",Carl stands on the tail of the airship.,0,Carl,stands,stand,neutral,neutral,No,No,,,tail of airship,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",Russell stands on the tail of the airship.,0,Russell,stands,stand,neutral,neutral,No,No,,,tail of airship,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",Dug stands on the tail of the airship.,0,Dug,stands,stand,neutral,neutral,No,No,,,tail of the airship,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",Kevin stands on the tail of the airship.,0,Kevin,stands,stand,neutral,neutral,No,No,,,tail of the airship,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",The airship is floating off over the clouds.,0,airship,floating,fly,neutral,neutral,Yes,Yes,,,over the clouds,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,,"Carl, Russell, Dug and Kevin stand on the tail of the airship floating off over the clouds.",,,,,,,,,,,,,,,
391,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,"DISSOLVE TO:
			EXT. MOUNTAIN, LABYRINTH GATE - AFTERNOON",Carl holds the baby birds.,0,Carl,holds,touch,neutral,neutral,No,No,baby birds,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,Russell holds the baby birds.,0,Russell,holds,touch,neutral,neutral,No,No,baby birds.,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,The baby birds peck at Carl's head.,1,baby birds,peck,kiss,neutral,short,Yes,No,Carl's head,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,Carl laughs.,2,Carl,laughs,laugh,neutral,short,Yes,No,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,Russell laughs.,2,Russell,laughs,laugh,neutral,short,Yes,No,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,,Carl and Russell hold and cuddle the baby birds. The babies peck at Carl's head. Carl and Russell LAUGH.,,,,,,,,,,,,,,,
392,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.","CARL
	Ow! Ow! Ow!
		RUSSELL
	Look at you. You're so soft. 97.",Kevin calls out.,0,kevin,calls,call,neutral,short,Yes,No,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",Kevin is waiting for the babies at the gate to the labyrinth.,1,Kevin,waiting,stand,neutral,neutral,No,No,,babies,labyrinth gate,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,,"Kevin CALLS OUT, waiting for the babies at the gate to the LABYRINTH. Time to go.",,,,,,,,,,,,,,,
393,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,"RUSSELL
	Bye Kevin!",The bird looks back toward Carl.,0,bird,looks,look,neutral,short,Yes,No,Carl,,,back,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,The bird looks back toward Russell.,0,bird,looks,look,neutral,neutral,Yes,No,Russell,,,back,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,Th bird calls out.,1,bird,calls,call,neutral,short,Yes,No,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,The bird disappears into the mist.,2,bird,disappears,go,neutral,short,Yes,Yes,,,,into the mist,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,,The bird looks back toward Carl and Russell and CALLS OUT one last time before disappearing into the mist.,,,,,,,,,,,,,,,
394,Carl gives a thumbs up.,"RUSSELL
	Ready?",Carl gives a thumbs up.,0,Carl,gives,give,neutral,short,Yes,No,thumbs-up,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,,Carl gives a thumbs up.,,,,,,,,,,,,,,,
395,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.","CARL
	Ready! 98.
			EXT. DIRIGIBLE",Muntz's dirigible ascends to the skky.,0,Muntz's dirigible,ascends,go,neutral,short,Yes,Yes,sky,,,up,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",Dug sticks his head out the dirigible windows.,1,Dug,sticks,turn,neutral,short,Yes,No,head,,outside of dirigible windows,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",All of Muntz's dogs stick their heads out the dirigible windows.,1,Muntz's dogs,stick,turn,neutral,short,Yes,No,heads,,outside of dirigible windows.,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",All of Muntz's dogs bark into the sunset.,2,Muntz's dogs,bark,shout,neutral,neutral,Yes,No,sunset,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",The dirigible flies into the sunset.,2,dirigible,flies,fly,neutral,short,Yes,Yes,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,,"Muntz's dirigible ascends into the sky. Dug and all of MUNTZ'S DOGS stick their heads out the dirigible windows, barking as they fly into the sunset.",,,,,,,,,,,,,,,
396,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,"CAMP MASTER STRAUCH
	Uh, Russell? Is there... someone that... uh...",The camp master clears his throat uncomfortably.,0,camp master,clears,nod,neutral,short,Yes,No,throat,,,,uncomfortably,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,Russell looks for his dad in the audience.,1,Russell,looks,lookAround,neutral,short,Yes,No,audience,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,,The Camp Master CLEARS HIS THROAT uncomfortably. Russell looks for his dad in the audience.,,,,,,,,,,,,,,,
397,"Muntz's dogs sit in the back, BARKING in approval.",CALL.,Muntz's dogs sit inthe back.,0,Muntz's dogs,sit,sit,neutral,neutral,No,No,,,in the back,,,,"Muntz's dogs sit in the back, BARKING in approval.",Muntz's dogs bark in approval.,1,Muntz's dogs,bark,call,neutral,neutral,Yes,No,,,,,in approval,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,,"Muntz's dogs sit in the back, BARKING in approval.",,,,,,,,,,,,,,,
398,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,"DISSOLVE TO:
			EXT. CURB OUTSIDE FENTONS ICE CREAM PARLOR - DAY",Carl sits on the curb.,0,Carl,sits,sit,neutral,neutral,No,No,curb,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,Russell sits on a curb.,0,Russell,sits,sit,neutral,neutral,No,No,curb,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,Carl is licking an ice cream cone.,1,Carl,licking,eat,neutral,short,Yes,No,ice cream cone,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,Russell is licking an ice cream cone.,1,Russell,licking,eat,neutral,short,Yes,No,ice cream cone,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,Cars pass by them.,2,Cars,pass,go,neutral,short,Yes,Yes,,,,past them,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,,Carl and Russell sit on a curb licking ice cream cones. Russell has chocolate and Carl has butter-brickle. Cars pass by.,,,,,,,,,,,,,,,
399,They LAUGH.,"RUSSELL
	That's a bike!
		CARL
	It's red, isn't it?
		RUSSELL
	Mr. Fredricksen, you're cheating.
		CARL
	No, I'm not. Red one.
		RUSSELL
	That's a fire hydrant.",Carl laughs.,0,Carl,laughs,laugh,neutral,short,Yes,No,,,,,,,They LAUGH.,Russell laughs.,0,Russell,laughs,laugh,neutral,short,Yes,No,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,,They LAUGH.,,,,,,,,,,,,,,,
400,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.","DISSOLVE TO:
			EXT. PARADISE FALLS - AFTERNOON",Carl's house sits on top of Paradise Falls.,0,Carl's house,sits,sit,neutral,neutral,No,No,,,paradise falls,atop,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,,"On top of Paradise Falls sits Carl's house, just as Ellie imagined it.",,,,,,,,,,,,,,,
401,The Sargent pops out of the army bucket next to Woody.,"WOODY
	Wait a minute. You you don't think I meant to knock Buzz out the window, do you Potato Head?
		MR. POTATO HEAD
	That's Mr. Potato Head to you, you back-stabbin' murderer!
		WOODY
	Now, it was an accident! Guys, c'mon now, you...you gotta believe me
		SLINKY
	We believe you, Woody. Right, Rex?
		REX
backing away
	Oh, I don't like confrontations.",The sargent pops out of the army bucket next to Woody.,0,sargent,pops out,jump,neutral,short,Yes,Yes,army bucket,,next to Woody,up,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,,The Sargent pops out of the army bucket next to Woody.,,,,,,,,,,,,,,,
402,"Suddenly, the lid pops off the bucket of army men.","HAMM
	I don't think we should give him the chance.","Suddenly, the lid pops off the bucket of army men.",0,lid,pops off,open,fast ,short,Yes,No,bucket,army men,,,suddenly,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,,"Suddenly, the lid pops off the bucket of army men.",,,,,,,,,,,,,,,
403,The melee of conflicting reports from the dogs continues.,"INT. DIRIGIBLE, COCKPIT",The dogs continue to give conflicting reports.,0,dogs,give,talk,neutral,neutral,Yes,No,reports,,,,conflicting,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,,The melee of conflicting reports from the dogs continues.,,,,,,,,,,,,,,,
404,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,"RUSSELL
	Wait, Kevin's just leaving? But you promised to protect her!
		RUSSELL
	Her babies need her, we gotta make sure they're together. 59.",The bird hurries off toward the labyrinth.,0,bird,hurries,go,fast ,short,Yes,Yes,labyrinth,,,toward,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,Carl gathers up the hose tether.,1,Carl,gathers,collect,neutral,short,Yes,No,hose tether,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,,The bird hurries off toward the labyrinth. Carl gathers up the hose tether.,,,,,,,,,,,,,,,
