id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
471,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,"EVE
hushed hums
	[Stop it! They'll hear us!]",EVE places a stack of towels on Wall-E's head.,0,EVE.,Places.,,neutral,short,Yes,No,Wall-E's head.,Stack of towels.,Null.,On Wall-E's head.,Null.,Null.,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,EVE gestures for Wall-E to stay put.,1,EVE.,Gestures.,,neutral,short,Yes,No,Wall-E.,Null.,Null.,To Wall-E.,Null.,Null.,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,EVE points to her PLANT LIGHT.,2,EVE.,Points.,point,neutral,short,Yes,No,PLANT LIGHT.,Null.,Null.,To her PLANT LIGHT.,Null.,Null.,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,,She places a stack of towels on his head. Gestures for Wall-E to stay put. Points to her PLANT LIGHT.,,,,,,,,,,,,,,,
472,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,"BO PEEP
	Remember, I'm just a couple of blocks away.",Woody is left lovestruck.,0,Woody.,Is.,,neutral,neutral,No,No,Null.,Null.,Null.,Null.,Lovestruck.,Lovestruck.,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,All the rest of the toys in the room file past Slinky.,1,Toys.,File.,go,neutral,neutral,Yes,Yes,Slinky.,Null.,In the room.,Past Slinky.,Null.,Null.,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,,Woody is left lovestruck. All the rest of the toys in the room are filing past Slinky.,,,,,,,,,,,,,,,
473,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.","MR. POTATO HEAD
	Huh?! Huh?! I told you he was guilty.
		REX
	Who would've thought he was capable of such atrocities?!","Bo Peep is left alone at the window, visibly crestfallen.",0,Bo Peep.,Is.,,neutral,neutral,No,No,Window.,Null.,At the window.,Null.,Alone.,Crestfallen.,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.","Slinky is left alone at the window, visibly crestfallen.",0,Slinky.,Is.,,neutral,neutral,No,No,Window.,Null.,At the window.,Null.,Alone.,Crestfallen.,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,,"Bo Peep and Slinky are left alone at the window, visibly crestfallen.",,,,,,,,,,,,,,,
474,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,"CAPTAIN
	Honestly, it's the one thing I get to do on this ship.",CAPTAIN grabs a large dial.,0,CAPTAIN.,Grabs.,,neutral,short,Yes,No,Large dial.,Null.,Null.,Null.,Null.,Null.,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,TIME OF DAY ICONS surround the large dial.,0,ICONS.,Surround.,,neutral,neutral,No,No,Large dial.,Null.,Null.,Null.,Null.,Null.,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,CAPTAIN cranks the large dial from mid-day back to sunrise.,1,CAPTAIN.,Cranks.,,neutral,short,Yes,No,Large dial.,Null.,Null.,From mid-day back to sunrise.,Null.,Null.,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,,Grabs a large dial. TIME OF DAY ICONS surround it. Cranks it from mid-day back to sunrise.,,,,,,,,,,,,,,,
475,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,SFX: FOOTSTEPS,FOOTSTEPS approach from behind the connecting kitchen door.,0,FOOTSTEPS.,Approach.,,neutral,neutral,No,No,Kitchen door.,Null.,Null.,From behind the connecting kitchen door.,Null.,Null.,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,Immediately the Sargent signals the Sargent's men.,1,Sargent.,Signals.,,neutral,short,Yes,No,Sargent's men.,Null.,Null.,To the Sargent's men.,Immediately.,Null.,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,The Sargent's men freeze in their various classic action poses.,2,Sargent's men.,Freeze.,stand,neutral,neutral,No,No,Null.,Null.,Null.,Null.,Classic action poses.,Null.,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,,Can be heard approaching from behind the connecting kitchen door. Immediately the Sargent signals for his men to freeze in their various classic action poses.,,,,,,,,,,,,,,,
476,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,"INT. DIRIGIBLE, GAS CELL AREA",Dug leads Carl 'backstage' through a vent shaft into the dirigible.,0,Dug.,Leads.,go,neutral,neutral,Yes,Yes,Carl.,Vent shaft.,"DIRIGIBLE, GAS CELL AREA.",Through a vent shaft into the dirigible.,Null.,Null.,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,Dug sneaks past two biplanes.,1,Dug.,Sneaks.,go,neutral,neutral,Yes,Yes,Biplanes.,Null.,"DIRIGIBLE, GAS CELL AREA.",Past two biplanes.,Null.,Null.,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,Carl sneaks past two biplanes.,1,Carl.,Sneaks.,go,neutral,neutral,Yes,Yes,Biplanes.,Null.,"DIRIGIBLE, GAS CELL AREA.",Past two biplanes.,Null.,Null.,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,,Dug leads Carl 'backstage' through a vent shaft into the dirigible. They sneak past two biplanes.,,,,,,,,,,,,,,,
477,The Camp Master leads the audience in the WILDERNESS EXPLORER,"CAMP MASTER STRAUCH
	Alright, I think that covers everybody... So let's give a big Explorer Call to our brand new Senior Wilderness Explorers! Ready everybody?",The Camp Master leads the audience in the WILDERNESS EXPLORER.,0,Camp Master.,Leads.,go,neutral,neutral,Yes,Yes,Audience.,Null.,In the WILDERNESS EXPLORER.,Null.,Null.,Null.,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,,The Camp Master leads the audience in the WILDERNESS EXPLORER,,,,,,,,,,,,,,,
478,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,"WALL-E
	Ee-vah... ?",A SQUAD OF CLEANER ROBOTS emerge onto the dock.,0,CLEANER ROBOTS.,Emerge.,,neutral,neutral,Yes,Yes,Dock.,Null.,The dock.,Onto the dock.,Null.,Null.,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,A small roller BRUSH-BOT (M-O) leads.,0,BRUSH-BOT.,Leads.,go,neutral,neutral,Yes,Yes,Dock.,SQUAD OF CLEANER ROBOTS.,The dock.,Onto the dock.,Null.,Null.,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,,A SQUAD OF CLEANER ROBOTS emerge onto the dock. A small roller BRUSH-BOT (M-O) leads.,,,,,,,,,,,,,,,
479,"The footprints continue for a time, then stop.","RUSSELL
	Here, snipe... Come on out, snipe. Snipe!",The footprints continue for a time.,0,Footprints.,Continue.,,slow,long,Yes,Yes,Null.,Null.,Null.,Null.,Null.,Null.,"The footprints continue for a time, then stop.",The footprints stop.,1,Footprints.,Stop.,,neutral,neutral,No,No,Null.,Null.,Null.,Null.,Null.,Null.,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,,"The footprints continue for a time, then stop.",,,,,,,,,,,,,,,
480,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,OUT ON THE EMPTY BAY,The rejects stop.,0,Rejects.,Stop.,,neutral,neutral,No,No,Null.,Null.,OUT ON THE EMPTY BAY.,Null.,Null.,Null.,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,The roof of Wall-E's truck explodes.,1,Wall-E's truck.,Explodes.,,neutral,short,Yes,No,Roof.,Null.,Null.,From the rejects POV.,Null.,Null.,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,,The rejects stop. See the roof of Wall-E's truck explode. Oh no.,,,,,,,,,,,,,,,
481,"The toys all crowd around the bedroom window, trying to get a peek outside.","WOODY
	Uh, meeting adjourned.",The toys crowd around the bedroom window.,0,Toys.,Crowd.,,neutral,neutral,Yes,Yes,Window.,Null.,Null.,Around the bedroom window.,Null.,Null.,"The toys all crowd around the bedroom window, trying to get a peek outside.",The toys try to get a peek outside.,0,Toys.,Try.,,neutral,neutral,No,No,Window.,Null.,Null.,Out of the window.,Null.,Null.,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,,"The toys all crowd around the bedroom window, trying to get a peek outside.",,,,,,,,,,,,,,,
482,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,"BILLBOARD ANNOUNCER (V.O.)
Ad #1: BNL logo over trash
	Too much garbage in your face?
Ad #2: starliner in space
	There's plenty of space out in space!
Ad #3: starliners take off from Earth
	BNL starliners leaving each day.
Ad #4: WALL-E units wave goodbye
	We'll clean up the mess while you're away.
			EXT. EDGE OF THE CITY",Wall-E drives down a deserted overpass.,0,Wall-E.,Drives.,go,neutral,neutral,Yes,Yes,Overpass.,Null.,EDGE OF THE CITY.,Down a deserted overpass.,Null.,Null.,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,Wall-E activates an even LARGER HOLOGRAPHIC BILLBOARD.,1,Wall-E.,Activates.,,neutral,short,Yes,No,BILLBOARD.,Null.,EDGE OF THE CITY.,Null.,Null.,Null.,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,,Wall-E drives down a deserted overpass. Activates an even LARGER HOLOGRAPHIC BILLBOARD.,,,,,,,,,,,,,,,
483,Carl walks toward the voice.,"GIRL'S VOICE (O.S.)
	Look out! Mount Rushmore! Hard to starboard. Must get the Spirit of Adventure over Mount Rushmore... 5.",Carl walks toward the voice.,0,Carl.,Walks.,go,neutral,neutral,Yes,Yes,Null.,Null.,Null.,Toward the voice.,Null.,Null.,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,,Carl walks toward the voice.,,,,,,,,,,,,,,,
484,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,A TELEVISION SET,Buzz's space ranger logo is on the screen over a field of stars.,0,Buzz.,Is.,,neutral,neutral,No,No,Screen.,Space ranger logo.,On A TELEVISION SET.,Over a field of stars.,Null.,Null.,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,The image quickly changes to two young boys.,1,Image.,Changes.,,fast ,short,Yes,No,Two boys.,Null.,On A TELEVISION SET.,Null.,Quickly.,Null.,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,The two young boys play in the boys backyard with a Buzz Lightyear doll.,1,Boys.,Play.,,neutral,neutral,Yes,Yes,Backyard.,Buzz Lightyear doll.,On A TELEVISION SET.,Null.,Null.,Null.,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,,Buzz's space ranger logo is on the screen over a field of stars. The image quickly changes to two young boys playing in their backyard with a Buzz Lightyear doll.,,,,,,,,,,,,,,,
485,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,INT. BACKPACK - CONTINUOUS,Woody cowers in the corner.,0,Woody.,Cowers.,duck,neutral,short,Yes,No,Null.,Null.,INT. BACKPACK.,In the corner.,Null.,Null.,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,Buzz enters.,0,Buzz.,Enters.,,neutral,neutral,Yes,Yes,Null.,Null.,Null.,Null.,Null.,Null.,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,Buzz punches a button on Buzz's chest.,1,Buzz.,Punches.,hit,neutral,short,Yes,No,Button.,Null.,Null.,On Buzz's chest.,Null.,Null.,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,,Woody cowers in the corner as Buzz enters. He punches a button on his chest.,,,,,,,,,,,,,,,
486,All the dog pilots snap to attention.,"RUSSELL
	Hey!
pointing down
	Squirrel!",All the dog pilots snap to attention.,0,Dog pilots.,Snap.,stand,fast ,short,Yes,No,Null.,Null.,Null.,Null.,To attention.,Null.,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,,All the dog pilots snap to attention.,,,,,,,,,,,,,,,
